GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mpmt-backend,com.mpmt.backend.entity,Notification,0,53,0,0,0,15,0,13,0,13
mpmt-backend,com.mpmt.backend.entity,RoleType,0,21,0,0,0,4,0,1,0,1
mpmt-backend,com.mpmt.backend.entity,ProjectMember,0,82,2,6,0,23,2,17,0,15
mpmt-backend,com.mpmt.backend.entity,Task,3,96,0,4,1,28,1,24,1,22
mpmt-backend,com.mpmt.backend.entity,TaskHistory,0,43,0,0,0,12,0,11,0,11
mpmt-backend,com.mpmt.backend.entity,TaskAssignment,0,24,0,0,0,7,0,7,0,7
mpmt-backend,com.mpmt.backend.entity,User,0,41,0,0,0,12,0,11,0,11
mpmt-backend,com.mpmt.backend.entity,Project,14,60,0,0,4,17,4,13,4,13
mpmt-backend,com.mpmt.backend.entity,PriorityType,0,21,0,0,0,4,0,1,0,1
mpmt-backend,com.mpmt.backend.entity,StatusType,0,21,0,0,0,4,0,1,0,1
mpmt-backend,com.mpmt.backend.config,CorsConfig,0,138,0,0,0,13,0,2,0,2
mpmt-backend,com.mpmt.backend.config,SecurityConfig,0,137,0,0,0,29,0,9,0,9
mpmt-backend,com.mpmt.backend.DTO,LoginRequest,0,26,0,0,0,11,0,6,0,6
mpmt-backend,com.mpmt.backend.DTO,SignupRequest,0,36,0,0,0,15,0,8,0,8
mpmt-backend,com.mpmt.backend.DTO,ProjectSummary,0,33,0,0,0,12,0,6,0,6
mpmt-backend,com.mpmt.backend.DTO,StatusUpdateRequest,0,6,0,0,0,1,0,1,0,1
mpmt-backend,com.mpmt.backend.DTO,CreateProjectRequest,0,24,0,0,0,10,0,7,0,7
mpmt-backend,com.mpmt.backend.DTO,ProjectStats,0,38,0,0,0,11,0,11,0,11
mpmt-backend,com.mpmt.backend.DTO,UpdateTaskRequest,0,45,0,0,0,13,0,13,0,13
mpmt-backend,com.mpmt.backend.controller,ProjectMemberController,10,117,0,4,0,30,2,9,2,7
mpmt-backend,com.mpmt.backend.controller,UserController,0,99,0,4,0,27,0,11,0,9
mpmt-backend,com.mpmt.backend.controller,AuthController,0,145,1,5,0,33,1,7,0,5
mpmt-backend,com.mpmt.backend.controller,TaskController,0,90,0,4,0,23,0,10,0,8
mpmt-backend,com.mpmt.backend.controller,TaskAssignmentController.CreateAssignmentRequest,0,17,0,0,0,5,0,5,0,5
mpmt-backend,com.mpmt.backend.controller,NotificationController,46,6,0,0,10,3,7,1,7,1
mpmt-backend,com.mpmt.backend.controller,ProjectMemberController.RoleUpdateRequest,0,10,0,0,0,3,0,3,0,3
mpmt-backend,com.mpmt.backend.controller,ProjectMemberController.CreateMemberRequest,0,24,0,0,0,7,0,7,0,7
mpmt-backend,com.mpmt.backend.controller,TaskAssignmentController,0,86,0,4,0,21,0,10,0,8
mpmt-backend,com.mpmt.backend.controller,TaskHistoryController,46,6,0,0,11,3,7,1,7,1
mpmt-backend,com.mpmt.backend.controller,ProjectController,78,244,8,10,11,66,8,17,3,13
mpmt-backend,com.mpmt.backend.service,ProjectMemberService,95,95,5,1,16,26,15,7,12,7
mpmt-backend,com.mpmt.backend.service,NotificationService,20,35,0,0,5,11,4,5,4,5
mpmt-backend,com.mpmt.backend.service,UserService,29,17,0,0,7,5,6,3,6,3
mpmt-backend,com.mpmt.backend.service,TaskService,5,355,8,34,1,80,8,29,0,16
mpmt-backend,com.mpmt.backend.service,TaskHistoryService,9,22,0,0,3,6,2,4,2,4
mpmt-backend,com.mpmt.backend.service,ProjectService,15,22,0,0,3,7,3,4,3,4
mpmt-backend,com.mpmt.backend.service,TaskAssignmentService,139,20,12,0,33,7,13,2,7,2
mpmt-backend,com.mpmt.backend.mail,MailConfig,8,56,2,2,0,13,2,2,0,2
mpmt-backend,com.mpmt.backend.mail,MailService,124,6,22,0,27,3,14,1,3,1
mpmt-backend,com.mpmt.backend.security,JwtAuthFilter,0,176,7,19,0,46,7,8,0,2
mpmt-backend,com.mpmt.backend.security,JwtService,76,0,4,0,19,0,9,0,7,0
mpmt-backend,com.mpmt.backend.security,TaskSecurity,79,9,16,0,18,4,11,1,3,1
mpmt-backend,com.mpmt.backend.security,ProjectSecurity,0,103,2,22,0,24,2,12,0,2
mpmt-backend,com.mpmt.backend.security,CustomUserDetails,27,0,0,0,11,0,9,0,9,0
mpmt-backend,com.mpmt.backend.security,CustomUserDetailsService,20,6,0,0,4,3,2,1,2,1
mpmt-backend,com.mpmt.backend,MpmtBackendApplication,5,3,0,0,2,1,1,1,1,1
mpmt-backend,com.mpmt.backend,HelloController,2,3,0,0,1,1,1,1,1,1
